"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ZEA6DTQH","conferencePaper","2020","Feng, B.; Ren, K.; Tao, Q.; Gao, X.","A robust waste detection method based on cascade adversarial spatial dropout detection network","Proceedings of SPIE - The International Society for Optical Engineering","","","10.1117/12.2575394","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096740508&doi=10.1117%2f12.2575394&partnerID=40&md5=ea153d6adad8bd588191ea77707adb77","In cities, a large amount of municipal solid waste has impacted on the ecological environment significantly. Automatic and robust waste detection and classification is a promising and challenging problem in urban solid waste disposal. The performance of the classical detection and classification method is degraded by some factors, such as various occlusion and scale differences. To enhance the detection model robustness to occlusion and small items, we proposed a robust waste detection method based on a cascade adversarial spatial dropout detection network(Cascade ASDDN). The hard examples with occlusion in pyramid feature space are generated and used to adversarial training a detection network. Hard samples are generated by the spatial dropout module with Gradient-weighted Class Activation Mapping. The experiment verifies the effectiveness of our method on the 2020 Haihua AI challenge waste classification. © 2020 SPIE","2020","2022-03-17 01:34:23","2022-03-25 15:56:36","","","","","11550","","","","","","","","","","","","","","","","","","","/Users/juanca/Library/Mobile Documents/com~apple~CloudDocs/Projects/Sasvar/Literature Review/Articles/Proposals/2020-A robust waste detection method based on cascade adversarial spatial dropout detection network.pdf","","Q3; SASVAR; Q2; to_analize","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UQ5ST7EC","conferencePaper","2021","Kapadia, Harsh; Patel, Alpesh; Patel, Jignesh; Patidar, Shivam; Richhriya, Yash; Trivedi, Darpan; Patel, Priyank; Mehta, Meet","Dry waste segregation using seamless integration of deep learning and industrial machine vision","2021 IEEE International Conference on Electronics, Computing and Communication Technologies (CONECCT)","","","","","","2021","2022-03-17 01:34:14","2022-03-25 15:56:17","","01–07","","","","","","","","","","","IEEE","","","","","","","","","","","/Users/juanca/Library/Mobile Documents/com~apple~CloudDocs/Projects/Sasvar/Literature Review/Articles/Proposals/2021-Dry waste segregation using seamless integration of deep learning and industrial machine vision.pdf","","Q3; SASVAR; Q1; to_analize","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U82JCWNV","conferencePaper","2021","Md, Rokunuzzaman; Sayed, Rafat Habib; Kowshik, Ahmed Khan","Intelligent Waste Sorting Bin for Recyclable Municipal Solid Waste","2021 International Conference on Automation, Control and Mechatronics for Industry 4.0 (ACMI)","","","","","","2021","2022-03-17 01:34:22","2022-03-25 15:56:23","","1–5","","","","","","","","","","","IEEE","","","","","","","","","","","/Users/juanca/Library/Mobile Documents/com~apple~CloudDocs/Projects/Sasvar/Literature Review/Articles/Proposals/2021-Intelligent Waste Sorting Bin for Recyclable Municipal Solid Waste.pdf","","Q3; SASVAR; Q1; Q2; to_analize","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KQWPIB9D","journalArticle","2022","Chen, Zhichao; Yang, Jie; Chen, Lifang; Jiao, Haining","Garbage classification system based on improved ShuffleNet v2","Resources, Conservation and Recycling","","","","","","2022","2022-03-17 01:34:13","2022-03-25 15:56:36","","106090","","","178","","","","","","","","","","","","","","","","","Publisher: Elsevier","","/Users/juanca/Library/Mobile Documents/com~apple~CloudDocs/Projects/Sasvar/Literature Review/Articles/Proposals/2022-Garbage classification system based on improved ShuffleNet v2.pdf","","Q3; SASVAR; Q2; to_analize","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QZPJUX24","journalArticle","2021","Bobulski, J.; Kubanek, M.","Deep Learning for Plastic Waste Classification System","Applied Computational Intelligence and Soft Computing","","","10.1155/2021/6626948","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106357618&doi=10.1155%2f2021%2f6626948&partnerID=40&md5=fec1088d3510c09879dcdee022b3fa59","Plastic waste management is a challenge for the whole world. Manual sorting of garbage is a difficult and expensive process, which is why scientists create and study automated sorting methods that increase the efficiency of the recycling process. The plastic waste may be automatically chosen on a transmission belt for waste removal by using methods of image processing and artificial intelligence, especially deep learning, to improve the recycling process. Waste segregation techniques and procedures are applied to major groups of materials such as paper, plastic, metal, and glass. Though, the biggest challenge is separating different materials types in a group, for example, sorting different colours of glass or plastics types. The issue of plastic garbage is important due to the possibility of recycling only certain types of plastic (PET can be converted into polyester material). Therefore, we should look for ways to separate this waste. One of the opportunities is the use of deep learning and convolutional neural network. In household waste, the most problematic are plastic components, and the main types are polyethylene, polypropylene, and polystyrene. The main problem considered in this article is creating an automatic plastic waste segregation method, which can separate garbage into four mentioned categories, PS, PP, PE-HD, and PET, and could be applicable on a sorting plant or home by citizens. We proposed a technique that can apply in portable devices for waste recognizing which would be helpful in solving urban waste problems. © 2021 Janusz Bobulski and Mariusz Kubanek.","2021","2022-03-17 01:34:16","2022-03-25 15:56:36","","","","","2021","","","","","","","","","","","","","","","","","","","/Users/juanca/Library/Mobile Documents/com~apple~CloudDocs/Projects/Sasvar/Literature Review/Articles/Proposals/2021-Deep Learning for Plastic Waste Classification System.pdf","","Q3; SASVAR; Q2; to_analize","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58HJ5CT7","journalArticle","2020","Thanawala, D.; Sarin, A.; Verma, P.","An Approach to Waste Segregation and Management Using Convolutional Neural Networks","Communications in Computer and Information Science","","","10.1007/978-981-15-6634-9_14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089228637&doi=10.1007%2f978-981-15-6634-9_14&partnerID=40&md5=794dab46f73bfb22cea1919b7fdc0a82","Population explosion in India has led to an outburst of some major concerns, one of which is the waste generation and disposal system. India is accountable for producing 12% of the global municipal waste. As a result, waste is collectively dumped irrespective of the type leading to drainage blockages, pollution and diseases. In this paper, we have proposed a model for waste segregation that uses neural networks to classify waste images into three categories namely recyclable, non-recyclable and organic. A training accuracy of 83.77% and testing accuracy of 81.25% was obtained. Along with the proposed neural network, five standard CNN architectures – VGG-16, Dense-Net, Inception-Net, Mobile-Net and Res-Net are also tested on the given dataset. The highest test accuracy of 92.65% was obtained from the Mobile-Net classifier. The paper also proposes an on-site waste management system using 8051 micro-controller and GSM technology. © 2020, Springer Nature Singapore Pte Ltd.","2020","2022-03-17 01:34:22","2022-03-25 15:56:36","","139-150","","","1244 CCIS","","","","","","","","","","","","","","","","","","","/Users/juanca/Library/Mobile Documents/com~apple~CloudDocs/Projects/Sasvar/Literature Review/Articles/Proposals/2020-An Approach to Waste Segregation and Management Using Convolutional Neural Networks.pdf","","SASVAR; Q2; to_analize","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MB2IGIWJ","conferencePaper","2021","Singh, S.; Gautam, J.; Rawat, S.; Gupta, V.; Kumar, G.; Verma, L.P.","Evaluation of Transfer Learning based Deep Learning architectures for Waste Classification","2021 4th International Symposium on Advanced Electrical and Communication Technologies, ISAECT 2021","","","10.1109/ISAECT53699.2021.9668454","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124950460&doi=10.1109%2fISAECT53699.2021.9668454&partnerID=40&md5=b1b8fb7fb2a053fcda97b8294105f016","Today, the development and modernization have led to the generation of waste, which has become a problem for all the living beings and the environment, whether it is medical waste, of which 25% is hazardous, or household waste, which contains harmful plastic. In this work, a deep learning solution has been provided towards the classification of a few classes of wastes such as plastic, paper, metal, glass, cardboard, etc. In this work, transfer learning has been used and applied. This helps deep learning models to accomplish the classification task in the most accurate way. The models such as EfficientNet, ResNet34, Densenet121, ResNeXt-50 32x4d, Wide ResNet50_2, Densenet169 are used here in this work. Extensive experimentation was done with the different optimizers. The training such as Adam optimizer, RMSprop optimizer, and Adadelta was performed and the experimental results demonstrate that the Adam optimizer produced the best results over the other competing methods. The proposed work has achieved a test accuracy of 98.02% using ResNeXt-50 32x4d and 95.8% using Wide ResNet50_2 architecture. © 2021 IEEE.","2021","2022-03-17 01:34:23","2022-03-25 15:56:36","","","","","","","","","","","","","","","","","","","","","","","","/Users/juanca/Library/Mobile Documents/com~apple~CloudDocs/Projects/Sasvar/Literature Review/Articles/Proposals/2021-Evaluation of Transfer Learning based Deep Learning architectures for Waste Classification.pdf","","Q3; SASVAR; Q2; to_analize","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53B5BGGG","journalArticle","2022","Lu, G.; Wang, Y.B.; Xu, H.X.; Yang, H.Y.; Zou, J.","Deep multimodal learning for municipal solid waste sorting","Science China Technological Sciences","","","10.1007/s11431-021-1927-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122292488&doi=10.1007%2fs11431-021-1927-9&partnerID=40&md5=f37195466f2aeb986e5c0bd41e2e913a","Automated waste sorting can dramatically increase waste sorting efficiency and reduce its regulation cost. Most of the current methods only use a single modality such as image data or acoustic data for waste classification, which makes it difficult to classify mixed and confusable wastes. In these complex situations, using multiple modalities becomes necessary to achieve a high classification accuracy. Traditionally, the fusion of multiple modalities has been limited by fixed handcrafted features. In this study, the deep-learning approach was applied to the multimodal fusion at the feature level for municipal solid-waste sorting. More specifically, the pre-trained VGG16 and one-dimensional convolutional neural networks (1D CNNs) were utilized to extract features from visual data and acoustic data, respectively. These deeply learned features were then fused in the fully connected layers for classification. The results of comparative experiments proved that the proposed method was superior to the single-modality methods. Additionally, the feature-based fusion strategy performed better than the decision-based strategy with deeply learned features. © 2022, Science China Press and Springer-Verlag GmbH Germany, part of Springer Nature.","2022","2022-03-17 01:34:23","2022-03-25 15:56:23","","324-335","","2","65","","","","","","","","","","","","","","","","","Number: 2","","/Users/juanca/Library/Mobile Documents/com~apple~CloudDocs/Projects/Sasvar/Literature Review/Articles/Proposals/2022-Deep multimodal learning for municipal solid waste sorting.pdf","","Q3; SASVAR; Q1; Q2; to_analize","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9TW4KXN9","journalArticle","2021","Qin, Leow Wei; Ahmad, Muneer; Ali, Ihsan; Mumtaz, Rafia; Zaidi, Syed Mohammad Hassan; Alshamrani, Sultan S; Raza, Muhammad Ahsan; Tahir, Muhammad","Precision measurement for industry 4.0 standards towards solid waste classification through enhanced imaging sensors and deep learning model","Wireless Communications and Mobile Computing","","","","","","2021","2022-03-17 01:34:22","2022-03-25 15:56:36","","","","","2021","","","","","","","","","","","","","","","","","Publisher: Hindawi","","/Users/juanca/Library/Mobile Documents/com~apple~CloudDocs/Projects/Sasvar/Literature Review/Articles/Proposals/2021-Precision measurement for industry 4.0 standards towards solid waste classification through enhanced imaging sensors and deep learning model.pdf","","Q3; SASVAR; Q2; to_analize","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G7PJGHBW","conferencePaper","2020","Song, F.; Zhang, Y.; Zhang, J.","Optimization of CNN-based Garbage Classification Model","ACM International Conference Proceeding Series","","","10.1145/3424978.3425089","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094880048&doi=10.1145%2f3424978.3425089&partnerID=40&md5=f986588c9f6ac57b9d9de9278081a607","In this study, a new automatic municipal waste classification algorithm is proposed, which is named DSCR-Net. The study builds an open-source dataset with large sample size. The classification of the dataset is based on the Shanghai Municipal Household Waste Management Regulations, and it is the first open-source dataset to use this classification method. The new algorithm proposed by the study borrows from Inception-V4 and ResNet network, to facilitate migration, and some layers of the model have been adjusted. The new algorithm was optimized and tested on the dataset with a 94.38% accuracy rate. © 2020 ACM.","2020","2022-03-17 01:34:22","2022-03-25 15:56:36","","","","","","","","","","","","","","","","","","","","","","","","/Users/juanca/Library/Mobile Documents/com~apple~CloudDocs/Projects/Sasvar/Literature Review/Articles/Proposals/2020-Optimization of CNN-based Garbage Classification Model.pdf","","Q3; SASVAR; Q2; to_analize","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
